Game,Link
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,/game/the-legend-of-zelda-tears-of-the-kingdom-nintendo/
Hades II,/game/hades-ii/
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,/game/the-legend-of-zelda-breath-of-the-wild-nintendo/
Clair Obscur: Expedition 33,/game/clair-obscur-expedition-33/
Blue Prince,/game/blue-prince/
Split Fiction,/game/split-fiction/
Donkey Kong Bananza,/game/donkey-kong-bananza/
Hollow Knight: Silksong,/game/hollow-knight-silksong/
despelote,/game/despelote/
Rhythm Doctor,/game/rhythm-doctor/
The Talos Principle: Reawakened,/game/the-talos-principle-reawakened/
The Seance of Blake Manor,/game/the-seance-of-blake-manor/
Death Stranding 2: On The Beach,/game/death-stranding-2-on-the-beach/
Kingdom Come: Deliverance II,/game/kingdom-come-deliverance-ii/
Monster Hunter Wilds,/game/monster-hunter-wilds/
Abiotic Factor,/game/abiotic-factor/
FINAL FANTASY TACTICS - The Ivalice Chronicles,/game/final-fantasy-tactics-the-ivalice-chronicles/
Trails in the Sky 1st Chapter,/game/trails-in-the-sky-1st-chapter/
Simogo Legacy Collection,/game/simogo-legacy-collection/
Sektori,/game/sektori/
Sword of the Sea,/game/sword-of-the-sea/
Monster Train 2,/game/monster-train-2/
Shinobi: Art of Vengeance,/game/shinobi-art-of-vengeance/
Super Mario Galaxy + Super Mario Galaxy 2,/game/super-mario-galaxy-plus-super-mario-galaxy-2/
Pipistrello and the Cursed Yoyo,/game/pipistrello-and-the-cursed-yoyo/
Lumines Arise,/game/lumines-arise/
Dispatch,/game/dispatch/
Cross Blitz,/game/cross-blitz/
Absolum,/game/absolum/
Xenoblade Chronicles X: Definitive Edition,/game/xenoblade-chronicles-x-definitive-edition/
Lonely Mountains: Snow Riders,/game/lonely-mountains-snow-riders/
The Roottrees are Dead,/game/the-roottrees-are-dead/
Street Fighter 6: Years 1-2 Fighters Edition,/game/street-fighter-6-years-1-2-fighters-edition/
Deep Rock Galactic: Survivor,/game/deep-rock-galactic-survivor/
Mario Kart World,/game/mario-kart-world/
Heretic + Hexen,/game/heretic-plus-hexen/
Ghost of Yotei,/game/ghost-of-yotei/
ARC Raiders,/game/arc-raiders/
Silent Hill f,/game/silent-hill-f/
Sea of Stars: Throes of the Watchmaker,/game/sea-of-stars-throes-of-the-watchmaker/
DELTARUNE,/game/deltarune/
Age of Mythology: Retold - Immortal Pillars,/game/age-of-mythology-retold-immortal-pillars/
StarVaders,/game/starvaders/
Master Lemon: The Quest for Iceland,/game/master-lemon-the-quest-for-iceland/
Yakuza 0: Director's Cut,/game/yakuza-0-directors-cut/
Metal Gear Solid Delta: Snake Eater,/game/metal-gear-solid-delta-snake-eater/
Europa Universalis V,/game/europa-universalis-v/
Pioneers of Pagonia,/game/pioneers-of-pagonia/
Earthion,/game/earthion/
