id,game
1,The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition
2,The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition
3,Hades II
4,Clair Obscur: Expedition 33
5,Blue Prince
6,Split Fiction
7,Donkey Kong Bananza
8,Hollow Knight: Silksong
9,despelote
10,The Talos Principle: Reawakened
11,Death Stranding 2: On The Beach
12,Dispatch
13,Kingdom Come: Deliverance II
14,Monster Hunter Wilds
15,Abiotic Factor
16,The Seance of Blake Manor
17,Trails in the Sky 1st Chapter
18,FINAL FANTASY TACTICS - The Ivalice Chronicles
19,Sword of the Sea
20,Monster Train 2
21,Shinobi: Art of Vengeance
22,Super Mario Galaxy + Super Mario Galaxy 2
23,Pipistrello and the Cursed Yoyo
24,Lumines Arise
25,Absolum
26,Xenoblade Chronicles X: Definitive Edition
27,Lonely Mountains: Snow Riders
28,The Roottrees are Dead
29,Street Fighter 6: Years 1-2 Fighters Edition
30,Deep Rock Galactic: Survivor
31,Mario Kart World
32,Heretic + Hexen
33,Ghost of Yotei
34,ARC Raiders
35,Silent Hill f
36,Sea of Stars: Throes of the Watchmaker
37,DELTARUNE
38,Citizen Sleeper 2: Starward Vector
39,Age of Mythology: Retold - Immortal Pillars
40,StarVaders
41,Yakuza 0: Director's Cut
42,Metal Gear Solid Delta: Snake Eater
43,Europa Universalis V
44,Earthion
45,Lies of P: Overture
46,Cyberpunk 2077: Ultimate Edition
47,Anno 117: Pax Romana
48,The Alters
49,News Tower
50,The Hundred Line: Last Defense Academy
51,BALL x PIT
52,Two Point Museum
53,System Shock 2: 25th Anniversary Remaster
54,The Drifter
55,s.p.l.i.t
56,Dragon Quest I & II HD-2D Remake
57,Keep Driving
58,Ninja Gaiden: Ragebound
59,Kingdom Come: Deliverance II - Mysteria Ecclesiae
60,Gradius Origins
61,Senua's Saga: Hellblade II - Enhanced
62,Bravely Default: Flying Fairy HD Remaster
63,Shape of Dreams
64,ENDER MAGNOLIA: Bloom in the Mist
65,Quartet
66,Mortal Kombat: Legacy Kollection
67,DOOM: The Dark Ages
68,Look Outside
69,The Outer Worlds 2
70,Kirby and the Forgotten Land: Nintendo Switch 2 Edition + Star-Crossed World
71,Battlefield 6
72,Dawnfolk
73,Drop Duchy
74,Atelier Ryza Secret Trilogy Deluxe Pack
75,POPUCOM
76,MLB The Show 25
77,Story of Seasons: Grand Bazaar
78,Goodnight Universe
79,Farthest Frontier
80,Lost in Random: The Eternal Die
81,OFF
82,Expelled!
83,Rosewater
84,Hell Clock
85,NBA 2K26
86,Tony Hawk's Pro Skater 3 + 4
87,Achilles: Survivor
88,PowerWash Simulator 2
89,PEAK
90,Ninja Gaiden 4
91,Sonic Racing: CrossWorlds
92,Constance
93,Crown Gambit
94,Cataclismo
95,EA Sports College Football 26
96,HITMAN World of Assassination Part One - VR Edition
97,Many Nights a Whisper
98,Kathy Rain 2: Soothsayer
99,Tales of Graces f Remastered
100,Fresh Tracks
101,Escape Simulator 2
102,Monsters Are Coming! Rock & Road
103,Strange Antiquities
104,Assassin's Creed Shadows
105,HASTE: Broken Worlds
106,LEGO Party!
107,Borderlands 4
108,Capcom Fighting Collection 2
109,Elroy And The Aliens
110,Bionic Bay
111,Jurassic World Evolution 3
112,Back to the Dawn
113,Rune Factory: Guardians of Azuma
114,Duck Detective: The Ghost of Glamping
115,Mark of the Deep
116,Star Wars Outlaws: Gold Edition
117,SaGa Frontier 2 Remastered
118,Dragon Ball: Gekishin Squadra
119,Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars
120,Tiny Bookshop
121,The Darkest Files
122,F1 25
123,Tempest Rising
124,Slender Threads
125,Disgaea 7 Complete
126,The King is Watching
127,PGA TOUR 2K25
128,Ninja Gaiden 2 Black
129,Wanderstop
130,Fantasy Life i: The Girl Who Steals Time
131,Old Skies
132,Ready or Not
133,Avowed
134,Hello Kitty Island Adventure
135,Atelier Yumia: The Alchemist of Memories & The Envisioned Land
136,Spilled!
137,Birdigo - bird word game
138,The Rogue Prince of Persia
139,Time Flies
140,Broken Arrow
141,Stories from Sol: The Gun-Dog
142,Fatal Fury: City of the Wolves
143,Amerzone - The Explorer's Legacy
144,WWE 2K25
145,Koira
146,Tales of Xillia Remastered
147,Shotgun Cop Man
148,Stronghold Crusader: Definitive Edition
149,Consume Me
150,FAST Fusion
151,Neon Inferno
152,Tainted Grail: The Fall of Avalon
153,The Elder Scrolls IV: Oblivion Remastered
154,Sunderfolk
155,Keeper
156,SpongeBob SquarePants: Titans of the Tide
157,Kill The Brickman
158,Lushfoil Photography Sim
159,Tom Clancy's Rainbow Six Siege X
160,The Horror at Highrook
161,Gears of War: Reloaded
162,Dynasty Warriors: Origins
163,Kirby Air Riders
164,Discounty
165,Rift of the NecroDancer
166,Everhood 2
167,Dying Light: The Beast
168,Like a Dragon: Pirate Yakuza in Hawaii
169,Lunar Remastered Collection
170,Is This Seat Taken?
171,Skin Deep
172,Once Upon a KATAMARI
173,LEGO Voyagers
174,The Jackbox Party Pack 11
175,Hyrule Warriors: Age of Imprisonment
176,Jotunnslayer: Hordes of Hel
177,Sid Meier's Civilization VII
178,Luto
179,Digimon Story Time Stranger
180,No Sleep for Kaname Date - From AI: The Somnium Files
181,The First Berserker: Khazan
182,Ys Memoire: The Oath in Felghana
183,Chained Echoes: Ashes of Elrant
184,"Please, Touch The Artwork 2"
185,Dune: Awakening
186,Chronicles of the Wolf
187,Days Gone Remastered
188,MotoGP 25
189,Eriksholm: The Stolen Dream
190,Tormented Souls 2
191,Kamikaze Lassplanes
192,Marvel's Deadpool VR
193,Pokemon Legends: Z-A
194,Demonschool
195,RoadCraft
196,Virtua Fighter 5 R.E.V.O. World Stage
197,Date Everything!
198,MakeRoom
199,Elden Ring Nightreign
200,The Midnight Walk
201,EA Sports FC 26
202,Donkey Kong Country Returns HD
203,The Necromancer's Tale
204,Promise Mascot Agency
205,Mandragora: Whispers of the Witch Tree
206,Escape from Duckov
207,Tails of Iron 2: Whiskers of Winter
208,Primal Planet
209,R-Type Delta: HD Boosted
210,Madden NFL 26
211,Microtopia
212,The Lonesome Guild
213,Hell is Us
214,Blade Chimera
215,Yooka-Replaylee
